array_size,key,N,average_searching_time(ns),index_returned,key_found_at_level
50000,28086,2,400.14,23529,15
50000,28086,3,235.47,23529,9
50000,28086,4,259.8,23529,8
50000,28086,5,275.22,23529,7
50000,28086,6,345.85,23529,6
50000,28086,7,415,23529,5
50000,28086,8,360.26,23529,5
50000,28086,9,284.97,23529,5
50000,28086,10,375.06,23529,5
50000,28086,11,369.96,23529,5
50000,28086,12,425.6,23529,4
50000,28086,13,414.96,23529,4
50000,28086,14,415.1,23529,4
50000,28086,15,385.21,23529,4
50000,28086,16,429.98,23529,4
